compromise_pdi,borda sum
3.0952380952380953,139
2.9333333333333336,133
3.5714285714285716,135
3.4571428571428564,144
3.257142857142857,130
3.066666666666667,136
3.2476190476190476,160
3.3619047619047615,153
3.047619047619047,132
3.0285714285714285,128
3.0666666666666664,142
3.047619047619048,131
3.2380952380952377,145
3.552380952380952,123
3.3238095238095235,150
4.0,123
3.123809523809524,137
3.371428571428571,136
3.723809523809523,134
3.561904761904762,162
3.4380952380952383,144
3.7523809523809524,145
3.2285714285714286,139
3.247619047619047,139
2.971428571428571,142
3.438095238095238,125
3.3809523809523814,144
3.7333333333333334,141
3.60952380952381,137
3.59047619047619,148
3.6095238095238096,145
3.438095238095238,140
3.0285714285714285,161
3.066666666666667,156
3.3428571428571425,127
3.6571428571428566,162
3.59047619047619,144
3.914285714285714,174
3.4571428571428573,163
3.4000000000000004,132
3.2761904761904757,145
3.3238095238095235,144
3.466666666666667,134
3.1714285714285713,140
3.5047619047619047,145
3.3714285714285723,141
3.0857142857142854,138
3.3142857142857145,146
3.3333333333333335,142
3.323809523809524,131
3.2476190476190476,137
3.4666666666666672,143
3.352380952380952,132
3.1999999999999993,134
3.2476190476190476,147
3.9333333333333336,141
3.295238095238095,147
2.885714285714286,153
3.3142857142857145,149
3.8190476190476184,145
3.3428571428571434,146
3.476190476190476,149
3.219047619047619,149
3.1714285714285713,143
3.6571428571428566,153
3.647619047619047,141
3.4380952380952388,138
3.1523809523809523,138
3.3333333333333335,138
3.4952380952380953,141
3.047619047619047,148
3.7333333333333334,132
3.114285714285714,130
3.3428571428571425,161
3.1523809523809527,163
3.5619047619047617,161
3.4571428571428573,148
3.2285714285714278,125
3.5047619047619043,147
3.428571428571429,142
3.1904761904761902,143
3.333333333333334,139
2.8571428571428568,138
3.0857142857142854,128
3.838095238095238,118
3.4857142857142853,132
3.219047619047619,137
3.0857142857142854,146
3.4095238095238094,129
3.4761904761904763,136
3.371428571428572,158
3.104761904761905,118
3.3428571428571434,144
2.8857142857142852,135
3.685714285714286,156
3.1999999999999997,149
3.228571428571429,149
3.4380952380952374,132
3.4952380952380957,143
2.8857142857142857,147
3.342857142857142,152
3.019047619047619,155
3.1714285714285717,119
3.304761904761905,125
3.5904761904761906,138
3.3523809523809525,148
2.628571428571429,125
3.2571428571428567,132
3.40952380952381,148
3.4761904761904763,148
3.133333333333333,133
3.047619047619048,140
3.1714285714285713,139
3.4857142857142858,160
3.2857142857142856,133
3.5428571428571423,135
3.6666666666666665,145
3.3047619047619046,153
3.2190476190476183,142
3.3047619047619046,148
3.4095238095238094,120
3.5523809523809526,148
2.904761904761905,137
3.4190476190476193,138
3.1714285714285713,152
3.6380952380952385,144
3.323809523809524,128
3.514285714285714,139
3.2380952380952386,113
3.0761904761904764,139
3.304761904761904,123
3.085714285714286,143
3.3238095238095235,139
3.4761904761904767,146
3.076190476190476,135
3.457142857142857,142
3.609523809523809,120
3.314285714285714,137
3.361904761904762,137
3.323809523809524,136
3.685714285714285,138
3.2095238095238092,134
3.2190476190476187,142
3.6095238095238096,155
3.6095238095238096,159
3.409523809523809,131
3.742857142857143,127
3.5142857142857142,155
3.1428571428571432,144
3.342857142857143,130
3.228571428571429,115
3.3333333333333335,145
2.9904761904761905,118
3.1999999999999997,129
3.0952380952380945,140
3.761904761904762,163
3.333333333333333,140
3.4095238095238094,155
3.4000000000000004,143
3.447619047619048,169
3.3047619047619046,133
3.1333333333333333,138
3.8857142857142857,160
3.7428571428571433,130
3.3047619047619046,153
3.2285714285714286,144
2.9523809523809526,141
3.4761904761904763,155
3.4,155
3.2095238095238092,151
2.904761904761904,141
3.2095238095238097,153
3.295238095238095,149
3.2476190476190476,132
3.2380952380952377,134
3.352380952380952,153
3.2476190476190476,140
3.8000000000000003,163
2.9333333333333336,143
3.6190476190476186,145
3.5142857142857147,124
3.161904761904762,126
3.552380952380952,141
3.3428571428571434,138
3.380952380952381,160
3.504761904761905,143
3.2761904761904757,137
3.5523809523809526,138
3.0380952380952375,149
2.952380952380953,132
3.123809523809524,135
3.638095238095238,147
2.8285714285714287,138
3.4095238095238094,139
3.685714285714286,122
3.104761904761905,132
3.3619047619047624,140
3.1428571428571423,136
2.952380952380953,131
3.4190476190476193,125
3.20952380952381,159
3.466666666666667,143
3.4095238095238094,132
3.619047619047619,150
3.6857142857142855,128
3.9238095238095245,160
3.4285714285714284,127
3.5238095238095237,159
3.4190476190476193,151
3.609523809523809,132
3.857142857142857,135
3.4761904761904767,151
3.076190476190476,162
3.6,133
3.3047619047619046,131
3.1333333333333333,147
3.685714285714285,143
3.657142857142857,130
3.1047619047619044,158
3.2857142857142856,164
3.2380952380952377,134
3.276190476190476,141
2.904761904761905,140
3.6476190476190475,136
3.1142857142857148,139
3.152380952380952,140
3.504761904761905,149
2.971428571428571,148
3.533333333333333,117
3.057142857142857,122
3.0380952380952375,141
3.257142857142857,152
3.1904761904761902,149
3.085714285714286,132
3.2,135
3.2380952380952377,150
3.5904761904761906,141
3.352380952380953,149
3.1904761904761902,151
3.1999999999999997,148
3.40952380952381,106
3.085714285714286,138
3.7523809523809524,165
3.5523809523809526,157
3.4857142857142858,142
3.6666666666666665,160
3.1333333333333333,164
3.466666666666666,151
3.3047619047619046,151
3.133333333333333,144
3.1904761904761907,153
3.0571428571428574,130
3.2380952380952377,143
3.1523809523809527,150
3.780952380952381,168
3.4380952380952383,158
4.304761904761905,166
3.2571428571428567,151
2.9904761904761905,133
4.161904761904761,165
3.5047619047619056,159
3.40952380952381,139
3.2285714285714286,141
3.4285714285714284,145
3.1999999999999997,139
2.9714285714285715,134
3.7619047619047628,153
3.0,133
3.2095238095238097,130
3.7904761904761903,167
3.247619047619047,139
3.3619047619047615,122
3.6,157
3.3999999999999995,149
3.3428571428571434,135
3.552380952380953,157
4.161904761904761,159
3.238095238095238,155
3.5428571428571427,147
3.6095238095238096,143
3.114285714285714,125
3.4190476190476193,142
3.6666666666666665,156
3.4,151
3.3238095238095235,141
3.4761904761904763,141
3.638095238095238,149
3.457142857142857,135
3.1333333333333333,145
3.085714285714286,138
3.3714285714285714,133
3.4380952380952383,147
3.3428571428571425,138
3.076190476190476,147
3.0,134
3.1047619047619044,130
3.5238095238095237,139
3.161904761904762,160
3.152380952380953,159
3.5047619047619043,149
2.9809523809523806,126
3.7714285714285714,137
3.1047619047619053,131
3.152380952380952,140
3.2190476190476187,140
3.142857142857143,149
3.619047619047619,156
3.142857142857143,123
3.4857142857142858,139
3.1333333333333337,144
3.495238095238096,156
3.323809523809524,149
3.447619047619048,143
3.3999999999999995,146
3.457142857142857,143
3.4571428571428573,158
3.8095238095238098,145
3.7238095238095235,129
3.4666666666666663,140
3.3523809523809525,156
3.295238095238095,143
3.142857142857143,144
3.2,132
3.5047619047619043,141
3.2,164
3.4476190476190474,132
3.4857142857142858,137
2.9523809523809517,137
2.942857142857143,131
3.523809523809524,128
3.047619047619047,149
3.0571428571428574,143
3.323809523809524,146
3.1333333333333337,142
3.419047619047619,149
3.8857142857142857,163
3.4380952380952383,144
3.628571428571428,121
3.4380952380952383,145
2.9904761904761905,132
3.40952380952381,130
3.466666666666667,153
3.571428571428571,138
3.0095238095238104,136
3.4952380952380953,139
3.247619047619048,133
3.4571428571428573,148
3.476190476190476,137
3.1809523809523803,164
3.58095238095238,154
3.7714285714285714,144
3.114285714285714,125
3.6380952380952385,157
3.2285714285714286,147
3.504761904761905,154
3.628571428571429,159
3.504761904761905,151
3.1714285714285713,158
3.428571428571429,162
3.647619047619048,132
3.3142857142857136,138
3.6,137
3.276190476190476,133
2.7428571428571424,132
3.5333333333333328,127
3.3809523809523814,168
3.1999999999999997,150
3.2,135
3.0666666666666664,145
3.0666666666666673,125
3.3142857142857145,134
4.0095238095238095,154
3.4,153
3.1428571428571432,147
3.742857142857143,158
3.4285714285714284,151
3.4380952380952383,152
3.9047619047619047,160
3.180952380952381,143
2.895238095238095,146
3.3809523809523805,147
3.4380952380952383,147
2.9238095238095236,117
3.657142857142857,148
2.9999999999999996,141
3.266666666666666,149
3.266666666666667,137
3.3999999999999995,127
3.495238095238095,146
3.6952380952380945,141
3.057142857142857,147
3.238095238095238,125
3.2095238095238092,134
3.6190476190476186,131
3.104761904761904,157
2.9523809523809526,121
3.8285714285714283,169
3.2761904761904765,122
3.41904761904762,144
2.7619047619047623,143
2.8571428571428577,136
3.571428571428571,149
3.2857142857142856,152
3.4952380952380953,144
3.180952380952381,134
3.638095238095238,152
3.314285714285714,148
2.99047619047619,132
3.9523809523809526,143
3.3428571428571434,130
3.4380952380952383,153
3.7523809523809524,129
3.59047619047619,135
2.980952380952381,127
3.2666666666666666,147
3.8761904761904757,154
3.4,127
3.4666666666666663,134
3.285714285714286,142
3.2666666666666666,135
2.8761904761904757,134
3.1619047619047613,151
3.495238095238095,152
3.3428571428571425,140
3.5333333333333337,132
2.952380952380952,145
3.4380952380952383,143
3.085714285714286,123
3.7904761904761903,154
3.3238095238095235,136
3.428571428571429,114
2.9523809523809517,135
3.5999999999999996,132
